YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Norton, VA",51720,22549,994,22.8,876
1997-01-01,"Norton, VA",51720,23171,968,23.3,793
1998-01-01,"Norton, VA",51720,23929,893,21.7,773
1999-01-01,"Norton, VA",51720,24761,740,19.1,799
2000-01-01,"Norton, VA",51720,25458,717,18.6,766
2001-01-01,"Norton, VA",51720,24640,686,17.6,737
2002-01-01,"Norton, VA",51720,26394,659,16.9,709
2003-01-01,"Norton, VA",51720,26996,676,18.1,726
2004-01-01,"Norton, VA",51720,28144,658,18.0,715
2005-01-01,"Norton, VA",51720,27343,801,22.1,736
2006-01-01,"Norton, VA",51720,28687,730,20.3,730
2007-01-01,"Norton, VA",51720,30654,757,20.6,752
2008-01-01,"Norton, VA",51720,28398,759,20.8,807
2009-01-01,"Norton, VA",51720,31247,763,20.9,805
2010-01-01,"Norton, VA",51720,30492,838,23.0,832
2011-01-01,"Norton, VA",51720,30908,864,23.0,841
2012-01-01,"Norton, VA",51720,31012,894,24.0,855
2013-01-01,"Norton, VA",51720,31198,917,24.0,867
2014-01-01,"Norton, VA",51720,31343,939,25.0,878
2015-01-01,"Norton, VA",51720,31483,959,25.0,888
2016-01-01,"Norton, VA",51720,31608,978,26.0,898
2017-01-01,"Norton, VA",51720,31722,995,26.0,907
2018-01-01,"Norton, VA",51720,31826,1010,27.0,915
2019-01-01,"Norton, VA",51720,31920,1024,27.0,922
