YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Noxubee, MS",28103,18622,4275,33.9,2441
1997-01-01,"Noxubee, MS",28103,20005,3557,28.3,2460
1998-01-01,"Noxubee, MS",28103,21585,3485,27.5,2455
1999-01-01,"Noxubee, MS",28103,21850,3551,28.4,2456
2000-01-01,"Noxubee, MS",28103,22848,3476,28.1,2413
2001-01-01,"Noxubee, MS",28103,21952,3583,29.2,2379
2002-01-01,"Noxubee, MS",28103,21740,3396,27.7,2307
2003-01-01,"Noxubee, MS",28103,22101,3271,26.8,2277
2004-01-01,"Noxubee, MS",28103,22917,3451,28.6,2220
2005-01-01,"Noxubee, MS",28103,23971,3858,32.2,2170
2006-01-01,"Noxubee, MS",28103,24600,3654,30.9,2172
2007-01-01,"Noxubee, MS",28103,24425,3826,32.8,2134
2008-01-01,"Noxubee, MS",28103,25668,3819,32.9,2070
2009-01-01,"Noxubee, MS",28103,24065,3915,34.3,1972
2010-01-01,"Noxubee, MS",28103,25246,3826,33.0,1878
2011-01-01,"Noxubee, MS",28103,26003,3924,34.0,1808
2012-01-01,"Noxubee, MS",28103,26620,4012,36.0,1731
2013-01-01,"Noxubee, MS",28103,27244,4087,37.0,1642
2014-01-01,"Noxubee, MS",28103,27912,4164,38.0,1544
2015-01-01,"Noxubee, MS",28103,28636,4248,39.0,1437
2016-01-01,"Noxubee, MS",28103,29419,4339,41.0,1322
2017-01-01,"Noxubee, MS",28103,30267,4437,42.0,1197
2018-01-01,"Noxubee, MS",28103,31186,4544,44.0,1061
2019-01-01,"Noxubee, MS",28103,32182,4660,46.0,914
