YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ohio, WV",54069,29700,7362,15.4,6265
1997-01-01,"Ohio, WV",54069,31941,6326,13.5,6393
1998-01-01,"Ohio, WV",54069,32973,6456,13.8,6392
1999-01-01,"Ohio, WV",54069,31559,6278,13.8,6306
2000-01-01,"Ohio, WV",54069,32915,5856,13.2,6178
2001-01-01,"Ohio, WV",54069,31880,6392,14.5,6059
2002-01-01,"Ohio, WV",54069,32029,6036,13.8,5892
2003-01-01,"Ohio, WV",54069,32808,6339,14.6,5724
2004-01-01,"Ohio, WV",54069,33956,6458,14.9,5451
2005-01-01,"Ohio, WV",54069,34199,6391,15.1,5359
2006-01-01,"Ohio, WV",54069,32626,7510,17.7,5323
2007-01-01,"Ohio, WV",54069,38757,7121,16.9,5359
2008-01-01,"Ohio, WV",54069,38344,6570,15.7,5309
2009-01-01,"Ohio, WV",54069,38201,5813,13.9,5279
2010-01-01,"Ohio, WV",54069,34181,6424,15.0,5141
2011-01-01,"Ohio, WV",54069,34529,6948,16.0,5047
2012-01-01,"Ohio, WV",54069,36505,7010,16.0,5010
2013-01-01,"Ohio, WV",54069,37651,6853,16.0,4987
2014-01-01,"Ohio, WV",54069,37675,6757,16.0,4952
2015-01-01,"Ohio, WV",54069,37387,6782,16.0,4906
2016-01-01,"Ohio, WV",54069,37358,6850,16.0,4863
2017-01-01,"Ohio, WV",54069,37587,6893,16.0,4826
2018-01-01,"Ohio, WV",54069,37847,6904,16.0,4796
2019-01-01,"Ohio, WV",54069,38013,6905,16.0,4768
