YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Orange, TX",48361,33974,12688,14.9,17446
1997-01-01,"Orange, TX",48361,35712,12993,15.2,17492
1998-01-01,"Orange, TX",48361,36985,12418,14.5,17424
1999-01-01,"Orange, TX",48361,36365,12153,14.4,17447
2000-01-01,"Orange, TX",48361,38024,11720,14.0,17276
2001-01-01,"Orange, TX",48361,37460,11277,13.6,17103
2002-01-01,"Orange, TX",48361,37729,11678,14.0,16866
2003-01-01,"Orange, TX",48361,38701,12174,14.5,16685
2004-01-01,"Orange, TX",48361,38789,12602,15.0,16382
2005-01-01,"Orange, TX",48361,38856,13170,15.7,16190
2006-01-01,"Orange, TX",48361,41959,13160,15.8,15513
2007-01-01,"Orange, TX",48361,46563,10973,13.5,15497
2008-01-01,"Orange, TX",48361,48568,11135,13.6,15435
2009-01-01,"Orange, TX",48361,45532,12624,15.6,15152
2010-01-01,"Orange, TX",48361,52181,9704,12.0,14458
2011-01-01,"Orange, TX",48361,51746,11077,14.0,14141
2012-01-01,"Orange, TX",48361,54825,10532,13.0,13629
2013-01-01,"Orange, TX",48361,57052,10559,13.0,13133
2014-01-01,"Orange, TX",48361,60089,10224,13.0,12556
2015-01-01,"Orange, TX",48361,63231,9961,13.0,11929
2016-01-01,"Orange, TX",48361,66776,9622,13.0,11230
2017-01-01,"Orange, TX",48361,70649,9275,12.0,10459
2018-01-01,"Orange, TX",48361,74936,8888,12.0,9607
2019-01-01,"Orange, TX",48361,79667,8466,12.0,8666
