YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ouachita, LA",22073,27114,33218,23.0,28929
1997-01-01,"Ouachita, LA",22073,28651,28615,19.8,29187
1998-01-01,"Ouachita, LA",22073,29671,28701,19.9,29565
1999-01-01,"Ouachita, LA",22073,30575,28201,19.7,28613
2000-01-01,"Ouachita, LA",22073,31808,26118,18.4,28263
2001-01-01,"Ouachita, LA",22073,31360,27930,19.6,27972
2002-01-01,"Ouachita, LA",22073,31757,27317,18.9,28237
2003-01-01,"Ouachita, LA",22073,32752,28387,19.6,27948
2004-01-01,"Ouachita, LA",22073,32969,30744,21.2,28126
2005-01-01,"Ouachita, LA",22073,34618,32487,22.7,27995
2006-01-01,"Ouachita, LA",22073,35400,30753,21.2,28145
2007-01-01,"Ouachita, LA",22073,37147,30176,20.8,28307
2008-01-01,"Ouachita, LA",22073,39056,31928,21.9,28273
2009-01-01,"Ouachita, LA",22073,37928,30520,20.8,28233
2010-01-01,"Ouachita, LA",22073,38732,32306,22.0,28184
2011-01-01,"Ouachita, LA",22073,39519,32531,22.0,28207
2012-01-01,"Ouachita, LA",22073,40267,32815,22.0,28201
2013-01-01,"Ouachita, LA",22073,40994,33137,22.0,28187
2014-01-01,"Ouachita, LA",22073,41709,33481,22.0,28173
2015-01-01,"Ouachita, LA",22073,42419,33837,22.0,28163
2016-01-01,"Ouachita, LA",22073,43126,34194,23.0,28155
2017-01-01,"Ouachita, LA",22073,43830,34550,23.0,28150
2018-01-01,"Ouachita, LA",22073,44531,34902,23.0,28145
2019-01-01,"Ouachita, LA",22073,45229,35252,23.0,28140
