YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pepin, WI",55091,29767,683,9.6,1770
1997-01-01,"Pepin, WI",55091,32663,682,9.6,1702
1998-01-01,"Pepin, WI",55091,34086,629,8.6,1708
1999-01-01,"Pepin, WI",55091,36548,568,7.9,1689
2000-01-01,"Pepin, WI",55091,38599,629,8.8,1666
2001-01-01,"Pepin, WI",55091,38075,649,9.0,1607
2002-01-01,"Pepin, WI",55091,38837,659,9.0,1522
2003-01-01,"Pepin, WI",55091,39594,593,8.1,1486
2004-01-01,"Pepin, WI",55091,42562,690,9.4,1459
2005-01-01,"Pepin, WI",55091,41397,652,9.0,1465
2006-01-01,"Pepin, WI",55091,43837,743,10.3,1400
2007-01-01,"Pepin, WI",55091,45296,769,10.6,1378
2008-01-01,"Pepin, WI",55091,49943,697,9.7,1319
2009-01-01,"Pepin, WI",55091,44601,850,11.9,1269
2010-01-01,"Pepin, WI",55091,47114,877,12.0,1221
2011-01-01,"Pepin, WI",55091,49686,800,11.0,1185
2012-01-01,"Pepin, WI",55091,50582,844,11.0,1144
2013-01-01,"Pepin, WI",55091,51856,850,11.0,1104
2014-01-01,"Pepin, WI",55091,52929,873,12.0,1062
2015-01-01,"Pepin, WI",55091,54098,889,12.0,1021
2016-01-01,"Pepin, WI",55091,55238,908,12.0,980
2017-01-01,"Pepin, WI",55091,56401,926,12.0,938
2018-01-01,"Pepin, WI",55091,57563,944,13.0,896
2019-01-01,"Pepin, WI",55091,58734,962,13.0,854
