YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pickett, TN",47137,20385,1000,21.6,828
1997-01-01,"Pickett, TN",47137,22027,1000,21.4,822
1998-01-01,"Pickett, TN",47137,24167,893,18.8,831
1999-01-01,"Pickett, TN",47137,24568,820,16.7,780
2000-01-01,"Pickett, TN",47137,25607,863,17.5,767
2001-01-01,"Pickett, TN",47137,24403,910,18.2,757
2002-01-01,"Pickett, TN",47137,24447,852,17.2,745
2003-01-01,"Pickett, TN",47137,25187,761,15.7,708
2004-01-01,"Pickett, TN",47137,27101,816,17.1,698
2005-01-01,"Pickett, TN",47137,27189,946,20.0,692
2006-01-01,"Pickett, TN",47137,28637,930,19.5,688
2007-01-01,"Pickett, TN",47137,27956,852,18.2,694
2008-01-01,"Pickett, TN",47137,29422,936,19.8,676
2009-01-01,"Pickett, TN",47137,29945,932,19.8,684
2010-01-01,"Pickett, TN",47137,29839,923,19.0,682
2011-01-01,"Pickett, TN",47137,29661,913,19.0,679
2012-01-01,"Pickett, TN",47137,29540,907,19.0,677
2013-01-01,"Pickett, TN",47137,29508,906,19.0,675
2014-01-01,"Pickett, TN",47137,29549,908,19.0,673
2015-01-01,"Pickett, TN",47137,29630,911,19.0,672
2016-01-01,"Pickett, TN",47137,29716,914,19.0,672
2017-01-01,"Pickett, TN",47137,29787,916,19.0,672
2018-01-01,"Pickett, TN",47137,29835,917,19.0,672
2019-01-01,"Pickett, TN",47137,29861,917,19.0,672
