YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pike, GA",13231,32911,1525,13.1,2123
1997-01-01,"Pike, GA",13231,35062,1491,11.8,2363
1998-01-01,"Pike, GA",13231,36764,1591,12.1,2419
1999-01-01,"Pike, GA",13231,41410,1454,10.9,2497
2000-01-01,"Pike, GA",13231,44125,1404,10.2,2511
2001-01-01,"Pike, GA",13231,43860,1514,10.6,2597
2002-01-01,"Pike, GA",13231,44875,1493,10.1,2658
2003-01-01,"Pike, GA",13231,46278,1617,10.5,2741
2004-01-01,"Pike, GA",13231,47415,1664,10.5,3005
2005-01-01,"Pike, GA",13231,47796,1670,10.6,3000
2006-01-01,"Pike, GA",13231,50756,1622,9.9,3112
2007-01-01,"Pike, GA",13231,51043,1869,11.1,3189
2008-01-01,"Pike, GA",13231,57143,1821,10.6,3398
2009-01-01,"Pike, GA",13231,55674,2087,12.1,3473
2010-01-01,"Pike, GA",13231,59811,2092,11.0,3766
2011-01-01,"Pike, GA",13231,61155,2275,12.0,3910
2012-01-01,"Pike, GA",13231,64444,2381,12.0,4158
2013-01-01,"Pike, GA",13231,67099,2550,13.0,4382
2014-01-01,"Pike, GA",13231,70549,2709,14.0,4655
2015-01-01,"Pike, GA",13231,74067,2900,14.0,4943
2016-01-01,"Pike, GA",13231,78101,3102,15.0,5268
2017-01-01,"Pike, GA",13231,82468,3331,16.0,5623
2018-01-01,"Pike, GA",13231,87334,3581,17.0,6018
2019-01-01,"Pike, GA",13231,92681,3859,18.0,6452
