YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pine, MN",27115,29300,2963,13.2,3548
1997-01-01,"Pine, MN",27115,30820,3073,13.3,3540
1998-01-01,"Pine, MN",27115,32448,3122,13.2,3483
1999-01-01,"Pine, MN",27115,35221,2638,10.4,3539
2000-01-01,"Pine, MN",27115,37161,2750,10.7,3469
2001-01-01,"Pine, MN",27115,36410,2919,11.1,3448
2002-01-01,"Pine, MN",27115,37340,2969,11.2,4500
2003-01-01,"Pine, MN",27115,37771,2881,10.7,4380
2004-01-01,"Pine, MN",27115,39663,2872,10.5,4252
2005-01-01,"Pine, MN",27115,41232,3016,11.2,4146
2006-01-01,"Pine, MN",27115,41458,3211,11.9,4034
2007-01-01,"Pine, MN",27115,43809,3269,12.3,4027
2008-01-01,"Pine, MN",27115,44945,3610,13.6,3956
2009-01-01,"Pine, MN",27115,39309,4991,18.9,3909
2010-01-01,"Pine, MN",27115,35331,5383,19.0,6749
2011-01-01,"Pine, MN",27115,35300,4726,16.0,8928
2012-01-01,"Pine, MN",27115,39635,3443,11.0,8984
2013-01-01,"Pine, MN",27115,45767,2407,7.0,6830
2014-01-01,"Pine, MN",27115,49737,2365,8.0,3879
2015-01-01,"Pine, MN",27115,48838,3425,12.0,2162
2016-01-01,"Pine, MN",27115,43530,4942,18.0,2969
2017-01-01,"Pine, MN",27115,37305,5923,21.0,5928
2018-01-01,"Pine, MN",27115,34454,5687,20.0,9171
2019-01-01,"Pine, MN",27115,37184,4345,14.0,10531
