YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Piscataquis, ME",23021,26523,2875,15.5,3493
1997-01-01,"Piscataquis, ME",23021,28599,2488,13.6,3500
1998-01-01,"Piscataquis, ME",23021,29291,2320,12.7,3408
1999-01-01,"Piscataquis, ME",23021,28492,2357,13.7,3266
2000-01-01,"Piscataquis, ME",23021,29823,2266,13.3,3173
2001-01-01,"Piscataquis, ME",23021,29089,2388,13.9,3402
2002-01-01,"Piscataquis, ME",23021,29704,2537,14.6,3290
2003-01-01,"Piscataquis, ME",23021,30780,2275,13.0,3161
2004-01-01,"Piscataquis, ME",23021,31784,2385,13.5,2722
2005-01-01,"Piscataquis, ME",23021,32053,2834,16.3,2723
2006-01-01,"Piscataquis, ME",23021,32558,2874,16.6,2698
2007-01-01,"Piscataquis, ME",23021,32989,2794,16.5,2619
2008-01-01,"Piscataquis, ME",23021,35144,2707,16.2,2790
2009-01-01,"Piscataquis, ME",23021,34922,2657,16.1,2644
2010-01-01,"Piscataquis, ME",23021,35115,2701,16.0,2563
2011-01-01,"Piscataquis, ME",23021,35446,2754,16.0,2513
2012-01-01,"Piscataquis, ME",23021,35837,2788,16.0,2471
2013-01-01,"Piscataquis, ME",23021,36218,2813,17.0,2427
2014-01-01,"Piscataquis, ME",23021,36583,2837,17.0,2382
2015-01-01,"Piscataquis, ME",23021,36939,2861,17.0,2338
2016-01-01,"Piscataquis, ME",23021,37287,2884,17.0,2297
2017-01-01,"Piscataquis, ME",23021,37627,2905,17.0,2256
2018-01-01,"Piscataquis, ME",23021,37958,2926,18.0,2216
2019-01-01,"Piscataquis, ME",23021,38280,2946,18.0,2178
