YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pitt, NC",37147,30257,22760,19.6,18729
1997-01-01,"Pitt, NC",37147,31987,21830,17.7,19298
1998-01-01,"Pitt, NC",37147,33195,22161,17.8,19613
1999-01-01,"Pitt, NC",37147,32494,22103,17.1,19917
2000-01-01,"Pitt, NC",37147,33440,21983,16.9,20162
2001-01-01,"Pitt, NC",37147,32484,22415,17.0,20259
2002-01-01,"Pitt, NC",37147,32339,24532,18.3,20200
2003-01-01,"Pitt, NC",37147,33734,23644,17.5,20528
2004-01-01,"Pitt, NC",37147,35444,24469,17.8,21412
2005-01-01,"Pitt, NC",37147,34679,29749,21.9,21833
2006-01-01,"Pitt, NC",37147,37045,30138,21.6,22296
2007-01-01,"Pitt, NC",37147,38632,32819,22.5,22763
2008-01-01,"Pitt, NC",37147,40742,32859,22.0,22835
2009-01-01,"Pitt, NC",37147,36339,38973,25.5,23487
2010-01-01,"Pitt, NC",37147,42668,34938,21.0,23858
2011-01-01,"Pitt, NC",37147,39425,39985,25.0,24314
2012-01-01,"Pitt, NC",37147,43039,38772,23.0,24702
2013-01-01,"Pitt, NC",37147,41839,42194,25.0,25143
2014-01-01,"Pitt, NC",37147,44117,42468,25.0,25559
2015-01-01,"Pitt, NC",37147,43970,45087,26.0,26009
2016-01-01,"Pitt, NC",37147,45583,46113,26.0,26452
2017-01-01,"Pitt, NC",37147,45976,48325,28.0,26917
2018-01-01,"Pitt, NC",37147,47263,49739,28.0,27383
2019-01-01,"Pitt, NC",37147,47940,51762,29.0,27863
