YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Plymouth, MA",25023,46606,35595,7.8,74585
1997-01-01,"Plymouth, MA",25023,49165,40461,8.6,79224
1998-01-01,"Plymouth, MA",25023,50528,33504,7.1,80699
1999-01-01,"Plymouth, MA",25023,52262,35240,7.5,85816
2000-01-01,"Plymouth, MA",25023,54910,31169,6.6,78989
2001-01-01,"Plymouth, MA",25023,53468,31896,6.7,79968
2002-01-01,"Plymouth, MA",25023,54391,34404,7.1,80207
2003-01-01,"Plymouth, MA",25023,57363,37822,7.8,80167
2004-01-01,"Plymouth, MA",25023,60359,38044,7.8,80093
2005-01-01,"Plymouth, MA",25023,66107,31286,6.5,80078
2006-01-01,"Plymouth, MA",25023,66540,33775,7.0,80124
2007-01-01,"Plymouth, MA",25023,70606,31077,6.5,82531
2008-01-01,"Plymouth, MA",25023,72931,33963,7.1,82334
2009-01-01,"Plymouth, MA",25023,70447,37172,7.6,81983
2010-01-01,"Plymouth, MA",25023,73398,33654,6.0,81155
2011-01-01,"Plymouth, MA",25023,75080,34034,6.0,81546
2012-01-01,"Plymouth, MA",25023,76698,33937,6.0,81592
2013-01-01,"Plymouth, MA",25023,78185,33961,6.0,81659
2014-01-01,"Plymouth, MA",25023,79607,33964,6.0,81711
2015-01-01,"Plymouth, MA",25023,80971,33965,6.0,81762
2016-01-01,"Plymouth, MA",25023,82286,33963,6.0,81810
2017-01-01,"Plymouth, MA",25023,83556,33959,6.0,81857
2018-01-01,"Plymouth, MA",25023,84781,33955,6.0,81902
2019-01-01,"Plymouth, MA",25023,85965,33950,6.0,81946
