YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pondera, MT",30073,27475,1228,19.8,1533
1997-01-01,"Pondera, MT",30073,28198,1253,20.1,1568
1998-01-01,"Pondera, MT",30073,26820,1358,22.1,1588
1999-01-01,"Pondera, MT",30073,28469,1221,19.1,1531
2000-01-01,"Pondera, MT",30073,30569,1099,17.5,1479
2001-01-01,"Pondera, MT",30073,29400,1139,18.3,1429
2002-01-01,"Pondera, MT",30073,29164,1092,17.8,1360
2003-01-01,"Pondera, MT",30073,29362,1075,17.6,1306
2004-01-01,"Pondera, MT",30073,30120,1016,16.8,1164
2005-01-01,"Pondera, MT",30073,31203,1185,19.8,1112
2006-01-01,"Pondera, MT",30073,32382,1393,23.4,1058
2007-01-01,"Pondera, MT",30073,35300,1080,18.4,1020
2008-01-01,"Pondera, MT",30073,35718,1052,18.2,1026
2009-01-01,"Pondera, MT",30073,34813,1095,19.1,991
2010-01-01,"Pondera, MT",30073,34482,1133,19.0,965
2011-01-01,"Pondera, MT",30073,34944,1137,19.0,933
2012-01-01,"Pondera, MT",30073,35582,1126,19.0,900
2013-01-01,"Pondera, MT",30073,36071,1115,19.0,871
2014-01-01,"Pondera, MT",30073,36412,1111,19.0,843
2015-01-01,"Pondera, MT",30073,36708,1110,19.0,817
2016-01-01,"Pondera, MT",30073,37016,1109,19.0,791
2017-01-01,"Pondera, MT",30073,37337,1106,19.0,766
2018-01-01,"Pondera, MT",30073,37654,1104,19.0,741
2019-01-01,"Pondera, MT",30073,37956,1101,19.0,718
