YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Powell, MT",30077,26137,1138,19.6,1159
1997-01-01,"Powell, MT",30077,29595,1138,19.7,1208
1998-01-01,"Powell, MT",30077,30945,1080,18.7,1165
1999-01-01,"Powell, MT",30077,30457,884,15.2,1137
2000-01-01,"Powell, MT",30077,31530,882,15.6,1122
2001-01-01,"Powell, MT",30077,30054,1079,19.1,1110
2002-01-01,"Powell, MT",30077,29607,1113,19.8,1064
2003-01-01,"Powell, MT",30077,29576,888,16.2,1042
2004-01-01,"Powell, MT",30077,31254,886,15.8,1001
2005-01-01,"Powell, MT",30077,37006,879,15.8,977
2006-01-01,"Powell, MT",30077,33409,1023,18.3,978
2007-01-01,"Powell, MT",30077,37027,883,16.3,911
2008-01-01,"Powell, MT",30077,38836,926,17.4,901
2009-01-01,"Powell, MT",30077,35848,1073,20.3,867
2010-01-01,"Powell, MT",30077,35286,1025,19.0,808
2011-01-01,"Powell, MT",30077,36866,967,18.0,754
2012-01-01,"Powell, MT",30077,38444,943,18.0,700
2013-01-01,"Powell, MT",30077,39876,933,18.0,642
2014-01-01,"Powell, MT",30077,41203,927,18.0,579
2015-01-01,"Powell, MT",30077,42544,921,19.0,509
2016-01-01,"Powell, MT",30077,43979,912,19.0,434
2017-01-01,"Powell, MT",30077,45549,902,19.0,351
2018-01-01,"Powell, MT",30077,47273,891,19.0,260
2019-01-01,"Powell, MT",30077,49163,878,20.0,161
