YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Roane, TN",47145,30542,7241,14.5,7749
1997-01-01,"Roane, TN",47145,31448,7378,14.6,7590
1998-01-01,"Roane, TN",47145,32578,6974,13.8,7571
1999-01-01,"Roane, TN",47145,33040,6651,12.8,7456
2000-01-01,"Roane, TN",47145,34376,6598,12.8,7343
2001-01-01,"Roane, TN",47145,33685,6756,13.0,7446
2002-01-01,"Roane, TN",47145,34768,6882,13.2,7135
2003-01-01,"Roane, TN",47145,36849,6923,13.2,7194
2004-01-01,"Roane, TN",47145,38172,7714,14.7,7397
2005-01-01,"Roane, TN",47145,38274,7692,14.8,7449
2006-01-01,"Roane, TN",47145,40829,7293,13.9,7569
2007-01-01,"Roane, TN",47145,41897,8425,16.0,7751
2008-01-01,"Roane, TN",47145,41061,8182,15.5,7456
2009-01-01,"Roane, TN",47145,39007,7281,13.8,7556
2010-01-01,"Roane, TN",47145,39157,7665,14.0,7433
2011-01-01,"Roane, TN",47145,39346,7549,14.0,7434
2012-01-01,"Roane, TN",47145,39661,7648,14.0,7489
2013-01-01,"Roane, TN",47145,39773,7691,14.0,7480
2014-01-01,"Roane, TN",47145,39888,7701,14.0,7488
2015-01-01,"Roane, TN",47145,39980,7725,14.0,7495
2016-01-01,"Roane, TN",47145,40040,7737,14.0,7497
2017-01-01,"Roane, TN",47145,40091,7746,14.0,7499
2018-01-01,"Roane, TN",47145,40130,7754,14.0,7501
2019-01-01,"Roane, TN",47145,40159,7759,14.0,7502
