YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Roberts, TX",48393,34357,35,3.5,203
1997-01-01,"Roberts, TX",48393,34334,88,9.3,186
1998-01-01,"Roberts, TX",48393,38570,78,8.2,193
1999-01-01,"Roberts, TX",48393,41307,76,8.6,194
2000-01-01,"Roberts, TX",48393,44475,79,9.2,182
2001-01-01,"Roberts, TX",48393,44475,69,8.0,171
2002-01-01,"Roberts, TX",48393,44098,54,6.6,166
2003-01-01,"Roberts, TX",48393,44201,63,7.3,156
2004-01-01,"Roberts, TX",48393,49088,55,6.7,189
2005-01-01,"Roberts, TX",48393,54091,60,7.3,161
2006-01-01,"Roberts, TX",48393,52140,60,7.2,162
2007-01-01,"Roberts, TX",48393,58693,51,6.2,169
2008-01-01,"Roberts, TX",48393,63265,56,6.7,170
2009-01-01,"Roberts, TX",48393,63082,58,6.6,162
2010-01-01,"Roberts, TX",48393,65890,54,6.0,178
2011-01-01,"Roberts, TX",48393,68419,61,6.0,175
2012-01-01,"Roberts, TX",48393,71291,59,6.0,178
2013-01-01,"Roberts, TX",48393,74146,60,6.0,177
2014-01-01,"Roberts, TX",48393,77139,59,6.0,179
2015-01-01,"Roberts, TX",48393,80201,59,6.0,180
2016-01-01,"Roberts, TX",48393,83373,59,6.0,181
2017-01-01,"Roberts, TX",48393,86646,59,6.0,182
2018-01-01,"Roberts, TX",48393,90032,59,6.0,183
2019-01-01,"Roberts, TX",48393,93534,59,6.0,185
