YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Rockingham, VA",51165,35581,5358,8.5,9757
1997-01-01,"Rockingham, VA",51165,37759,5910,9.4,10228
1998-01-01,"Rockingham, VA",51165,39752,5576,8.9,10386
1999-01-01,"Rockingham, VA",51165,40405,5480,8.2,10520
2000-01-01,"Rockingham, VA",51165,42290,5151,7.7,10589
2001-01-01,"Rockingham, VA",51165,42099,5100,7.5,10612
2002-01-01,"Rockingham, VA",51165,42601,5660,8.3,10703
2003-01-01,"Rockingham, VA",51165,43624,6215,9.0,10953
2004-01-01,"Rockingham, VA",51165,45238,6002,8.5,11185
2005-01-01,"Rockingham, VA",51165,47654,5570,8.0,11244
2006-01-01,"Rockingham, VA",51165,47739,6154,8.7,11611
2007-01-01,"Rockingham, VA",51165,49346,5949,8.3,16295
2008-01-01,"Rockingham, VA",51165,53036,6666,9.2,16378
2009-01-01,"Rockingham, VA",51165,47965,7685,10.4,16457
2010-01-01,"Rockingham, VA",51165,51413,7619,10.0,17158
2011-01-01,"Rockingham, VA",51165,51252,7851,10.0,18162
2012-01-01,"Rockingham, VA",51165,52206,8110,11.0,18871
2013-01-01,"Rockingham, VA",51165,52778,8372,11.0,19664
2014-01-01,"Rockingham, VA",51165,53449,8636,11.0,20431
2015-01-01,"Rockingham, VA",51165,54069,8900,12.0,21205
2016-01-01,"Rockingham, VA",51165,54686,9165,12.0,21975
2017-01-01,"Rockingham, VA",51165,55287,9430,12.0,22743
2018-01-01,"Rockingham, VA",51165,55878,9694,13.0,23507
2019-01-01,"Rockingham, VA",51165,56457,9957,13.0,24266
