YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sabine, TX",48403,23655,1845,17.6,1561
1997-01-01,"Sabine, TX",48403,25064,1935,18.5,1621
1998-01-01,"Sabine, TX",48403,26700,1813,17.3,1607
1999-01-01,"Sabine, TX",48403,27321,1748,16.8,1641
2000-01-01,"Sabine, TX",48403,28513,1793,17.4,1603
2001-01-01,"Sabine, TX",48403,27508,1838,17.8,1608
2002-01-01,"Sabine, TX",48403,27836,1822,17.7,1618
2003-01-01,"Sabine, TX",48403,28461,1694,16.4,1584
2004-01-01,"Sabine, TX",48403,29772,1695,16.4,1609
2005-01-01,"Sabine, TX",48403,27144,1802,17.5,1600
2006-01-01,"Sabine, TX",48403,31590,1941,18.8,1594
2007-01-01,"Sabine, TX",48403,34555,1611,16.1,1921
2008-01-01,"Sabine, TX",48403,33443,1554,15.6,1956
2009-01-01,"Sabine, TX",48403,34779,1943,19.2,2094
2010-01-01,"Sabine, TX",48403,37727,1555,15.0,2448
2011-01-01,"Sabine, TX",48403,38029,1664,16.0,2666
2012-01-01,"Sabine, TX",48403,39776,1639,16.0,2979
2013-01-01,"Sabine, TX",48403,41524,1601,16.0,3362
2014-01-01,"Sabine, TX",48403,43449,1587,16.0,3809
2015-01-01,"Sabine, TX",48403,45771,1556,16.0,4348
2016-01-01,"Sabine, TX",48403,48445,1524,16.0,4991
2017-01-01,"Sabine, TX",48403,51577,1487,16.0,5757
2018-01-01,"Sabine, TX",48403,55255,1443,16.0,6670
2019-01-01,"Sabine, TX",48403,59579,1392,16.0,7757
