YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"St. Clair, MI",26147,39428,15575,9.9,26686
1997-01-01,"St. Clair, MI",26147,42617,14301,8.9,26927
1998-01-01,"St. Clair, MI",26147,44117,14515,8.9,27645
1999-01-01,"St. Clair, MI",26147,45415,12310,7.5,27624
2000-01-01,"St. Clair, MI",26147,47278,11827,7.2,27978
2001-01-01,"St. Clair, MI",26147,46590,11970,7.2,27831
2002-01-01,"St. Clair, MI",26147,46989,13598,8.1,27886
2003-01-01,"St. Clair, MI",26147,47445,14801,8.7,28073
2004-01-01,"St. Clair, MI",26147,48095,17471,10.2,30596
2005-01-01,"St. Clair, MI",26147,49740,16449,9.7,28612
2006-01-01,"St. Clair, MI",26147,49364,20619,12.1,28542
2007-01-01,"St. Clair, MI",26147,48026,19952,11.9,33560
2008-01-01,"St. Clair, MI",26147,51454,18618,11.1,33121
2009-01-01,"St. Clair, MI",26147,45830,22280,13.5,32481
2010-01-01,"St. Clair, MI",26147,46956,20891,12.0,32714
2011-01-01,"St. Clair, MI",26147,45909,20972,12.0,32459
2012-01-01,"St. Clair, MI",26147,45333,20608,12.0,32222
2013-01-01,"St. Clair, MI",26147,44896,20129,12.0,31893
2014-01-01,"St. Clair, MI",26147,44595,19594,12.0,31528
2015-01-01,"St. Clair, MI",26147,44443,19042,11.0,31159
2016-01-01,"St. Clair, MI",26147,44423,18517,11.0,30813
2017-01-01,"St. Clair, MI",26147,44514,18052,11.0,30512
2018-01-01,"St. Clair, MI",26147,44690,17671,10.0,30268
2019-01-01,"St. Clair, MI",26147,44925,17387,10.0,30091
