YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"St. Johns, FL",12109,39519,11411,10.6,14338
1997-01-01,"St. Johns, FL",12109,42857,10797,9.4,16007
1998-01-01,"St. Johns, FL",12109,45345,10146,8.5,17004
1999-01-01,"St. Johns, FL",12109,48732,9926,8.2,18054
2000-01-01,"St. Johns, FL",12109,52244,9312,7.3,19006
2001-01-01,"St. Johns, FL",12109,50737,10451,7.8,19715
2002-01-01,"St. Johns, FL",12109,51587,10572,7.5,20768
2003-01-01,"St. Johns, FL",12109,52677,12229,8.1,21671
2004-01-01,"St. Johns, FL",12109,55712,11976,7.5,23911
2005-01-01,"St. Johns, FL",12109,57277,11880,7.5,25148
2006-01-01,"St. Johns, FL",12109,58306,12709,7.6,26517
2007-01-01,"St. Johns, FL",12109,63728,11635,6.7,27676
2008-01-01,"St. Johns, FL",12109,67238,14209,7.9,28598
2009-01-01,"St. Johns, FL",12109,62180,16183,8.7,29664
2010-01-01,"St. Johns, FL",12109,63972,15586,7.0,31959
2011-01-01,"St. Johns, FL",12109,69480,15078,7.0,33926
2012-01-01,"St. Johns, FL",12109,73272,15928,7.0,35342
2013-01-01,"St. Johns, FL",12109,74406,17333,7.0,36786
2014-01-01,"St. Johns, FL",12109,75476,18263,8.0,38626
2015-01-01,"St. Johns, FL",12109,78088,18726,7.0,40704
2016-01-01,"St. Johns, FL",12109,81501,19291,7.0,42754
2017-01-01,"St. Johns, FL",12109,84528,20194,7.0,44757
2018-01-01,"St. Johns, FL",12109,87084,21222,7.0,46854
2019-01-01,"St. Johns, FL",12109,89793,22159,7.0,49120
