YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"St. Mary, LA",22101,26230,13721,23.9,11976
1997-01-01,"St. Mary, LA",22101,29528,11379,19.8,11874
1998-01-01,"St. Mary, LA",22101,31097,11241,19.7,11792
1999-01-01,"St. Mary, LA",22101,28640,11565,21.7,11575
2000-01-01,"St. Mary, LA",22101,29797,10335,19.8,11324
2001-01-01,"St. Mary, LA",22101,29720,10263,19.8,11293
2002-01-01,"St. Mary, LA",22101,30195,10062,19.3,10990
2003-01-01,"St. Mary, LA",22101,31422,10447,20.2,10827
2004-01-01,"St. Mary, LA",22101,31628,11123,21.8,10537
2005-01-01,"St. Mary, LA",22101,32424,11231,22.2,10477
2006-01-01,"St. Mary, LA",22101,35249,12220,23.9,10563
2007-01-01,"St. Mary, LA",22101,36109,11356,22.4,10206
2008-01-01,"St. Mary, LA",22101,39856,9321,18.5,10171
2009-01-01,"St. Mary, LA",22101,38437,9013,18.0,9902
2010-01-01,"St. Mary, LA",22101,38460,9931,19.0,9837
2011-01-01,"St. Mary, LA",22101,39431,10191,20.0,9767
2012-01-01,"St. Mary, LA",22101,40428,10147,20.0,9675
2013-01-01,"St. Mary, LA",22101,41269,10044,20.0,9571
2014-01-01,"St. Mary, LA",22101,42006,9961,20.0,9468
2015-01-01,"St. Mary, LA",22101,42703,9900,20.0,9369
2016-01-01,"St. Mary, LA",22101,43384,9849,19.0,9275
2017-01-01,"St. Mary, LA",22101,44049,9801,19.0,9184
2018-01-01,"St. Mary, LA",22101,44697,9754,19.0,9097
2019-01-01,"St. Mary, LA",22101,45323,9707,19.0,9013
