YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sumter, FL",12119,24024,7790,22.4,5505
1997-01-01,"Sumter, FL",12119,25601,7922,21.4,5767
1998-01-01,"Sumter, FL",12119,27360,7339,19.2,5921
1999-01-01,"Sumter, FL",12119,30090,6789,14.4,5856
2000-01-01,"Sumter, FL",12119,31730,7129,14.9,5901
2001-01-01,"Sumter, FL",12119,30559,7640,15.4,5868
2002-01-01,"Sumter, FL",12119,31673,7537,15.0,6132
2003-01-01,"Sumter, FL",12119,34050,6800,13.1,6393
2004-01-01,"Sumter, FL",12119,37523,6913,12.5,6857
2005-01-01,"Sumter, FL",12119,36194,7907,14.4,7157
2006-01-01,"Sumter, FL",12119,42459,7749,13.1,7416
2007-01-01,"Sumter, FL",12119,42828,7980,12.9,7435
2008-01-01,"Sumter, FL",12119,48106,8446,13.2,7521
2009-01-01,"Sumter, FL",12119,46586,10451,15.6,7650
2010-01-01,"Sumter, FL",12119,51603,10554,15.0,7839
2011-01-01,"Sumter, FL",12119,52652,11852,17.0,7917
2012-01-01,"Sumter, FL",12119,55371,12761,19.0,8010
2013-01-01,"Sumter, FL",12119,57266,13961,20.0,8060
2014-01-01,"Sumter, FL",12119,59380,15146,23.0,8090
2015-01-01,"Sumter, FL",12119,61218,16438,25.0,8087
2016-01-01,"Sumter, FL",12119,62954,17771,27.0,8054
2017-01-01,"Sumter, FL",12119,64472,19158,30.0,7989
2018-01-01,"Sumter, FL",12119,65782,20576,33.0,7890
2019-01-01,"Sumter, FL",12119,66841,22016,36.0,7757
