YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Tunica, MS",28143,18272,2985,36.6,1999
1997-01-01,"Tunica, MS",28143,19322,2169,26.6,1986
1998-01-01,"Tunica, MS",28143,23318,2111,26.1,1991
1999-01-01,"Tunica, MS",28143,23719,2218,24.1,2005
2000-01-01,"Tunica, MS",28143,24819,2031,22.1,1999
2001-01-01,"Tunica, MS",28143,24571,2177,22.7,1979
2002-01-01,"Tunica, MS",28143,24622,2038,20.6,2005
2003-01-01,"Tunica, MS",28143,26161,2237,22.4,2066
2004-01-01,"Tunica, MS",28143,26413,2453,23.9,2243
2005-01-01,"Tunica, MS",28143,26370,2815,27.7,2307
2006-01-01,"Tunica, MS",28143,27139,2577,25.1,2323
2007-01-01,"Tunica, MS",28143,29894,2615,25.4,2241
2008-01-01,"Tunica, MS",28143,30640,2532,24.6,2276
2009-01-01,"Tunica, MS",28143,29249,2751,26.8,2257
2010-01-01,"Tunica, MS",28143,28515,2617,25.0,2280
2011-01-01,"Tunica, MS",28143,28891,2659,25.0,2295
2012-01-01,"Tunica, MS",28143,29084,2686,25.0,2305
2013-01-01,"Tunica, MS",28143,29208,2703,25.0,2313
2014-01-01,"Tunica, MS",28143,29314,2718,25.0,2320
2015-01-01,"Tunica, MS",28143,29405,2730,26.0,2326
2016-01-01,"Tunica, MS",28143,29481,2740,26.0,2331
2017-01-01,"Tunica, MS",28143,29546,2749,26.0,2336
2018-01-01,"Tunica, MS",28143,29600,2756,26.0,2339
2019-01-01,"Tunica, MS",28143,29646,2762,26.0,2342
