YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Turner, GA",13287,21930,2574,28.7,1958
1997-01-01,"Turner, GA",13287,22686,2526,27.4,2025
1998-01-01,"Turner, GA",13287,23915,2581,28.1,2039
1999-01-01,"Turner, GA",13287,24820,2232,23.8,2012
2000-01-01,"Turner, GA",13287,26085,2231,23.6,2009
2001-01-01,"Turner, GA",13287,25358,2216,23.5,1995
2002-01-01,"Turner, GA",13287,25422,2180,23.1,2000
2003-01-01,"Turner, GA",13287,26230,2070,22.2,1922
2004-01-01,"Turner, GA",13287,26081,2164,23.1,1898
2005-01-01,"Turner, GA",13287,27137,2628,28.3,1890
2006-01-01,"Turner, GA",13287,28267,2467,27.1,1855
2007-01-01,"Turner, GA",13287,30582,2236,24.6,1789
2008-01-01,"Turner, GA",13287,29745,2592,28.6,1779
2009-01-01,"Turner, GA",13287,29069,2512,27.7,1715
2010-01-01,"Turner, GA",13287,29744,2818,31.0,1696
2011-01-01,"Turner, GA",13287,30638,2855,32.0,1659
2012-01-01,"Turner, GA",13287,31303,2868,32.0,1621
2013-01-01,"Turner, GA",13287,31879,2922,33.0,1583
2014-01-01,"Turner, GA",13287,32474,2996,34.0,1544
2015-01-01,"Turner, GA",13287,33100,3073,35.0,1503
2016-01-01,"Turner, GA",13287,33748,3152,36.0,1461
2017-01-01,"Turner, GA",13287,34416,3233,37.0,1417
2018-01-01,"Turner, GA",13287,35103,3318,38.0,1371
2019-01-01,"Turner, GA",13287,35814,3405,39.0,1324
