YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Twiggs, GA",13289,25120,2225,22.4,1894
1997-01-01,"Twiggs, GA",13289,26941,2246,22.2,2013
1998-01-01,"Twiggs, GA",13289,28305,2020,19.7,2009
1999-01-01,"Twiggs, GA",13289,29568,1750,16.7,2051
2000-01-01,"Twiggs, GA",13289,30820,1899,18.2,2030
2001-01-01,"Twiggs, GA",13289,30219,1781,17.2,1782
2002-01-01,"Twiggs, GA",13289,30465,1729,16.7,1727
2003-01-01,"Twiggs, GA",13289,31598,1709,16.5,1655
2004-01-01,"Twiggs, GA",13289,31782,1807,17.7,1419
2005-01-01,"Twiggs, GA",13289,33743,2039,20.1,1383
2006-01-01,"Twiggs, GA",13289,34395,2023,20.2,1282
2007-01-01,"Twiggs, GA",13289,36096,1965,19.5,1203
2008-01-01,"Twiggs, GA",13289,34823,2126,21.1,1122
2009-01-01,"Twiggs, GA",13289,34000,2286,23.1,1038
2010-01-01,"Twiggs, GA",13289,34386,2359,23.0,1035
2011-01-01,"Twiggs, GA",13289,34600,2389,24.0,1032
2012-01-01,"Twiggs, GA",13289,34695,2400,24.0,1024
2013-01-01,"Twiggs, GA",13289,34757,2407,24.0,1017
2014-01-01,"Twiggs, GA",13289,34803,2413,24.0,1010
2015-01-01,"Twiggs, GA",13289,34839,2418,24.0,1003
2016-01-01,"Twiggs, GA",13289,34870,2423,24.0,997
2017-01-01,"Twiggs, GA",13289,34895,2428,24.0,992
2018-01-01,"Twiggs, GA",13289,34916,2432,24.0,988
2019-01-01,"Twiggs, GA",13289,34932,2436,24.0,984
