YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ulster, NY",36111,36387,18416,11.3,27509
1997-01-01,"Ulster, NY",36111,38162,19938,12.3,28113
1998-01-01,"Ulster, NY",36111,40425,18793,11.6,28366
1999-01-01,"Ulster, NY",36111,40385,17366,10.1,28611
2000-01-01,"Ulster, NY",36111,42108,17907,10.5,28884
2001-01-01,"Ulster, NY",36111,40470,19167,11.1,28762
2002-01-01,"Ulster, NY",36111,40748,18064,10.4,28998
2003-01-01,"Ulster, NY",36111,42014,18529,10.6,28876
2004-01-01,"Ulster, NY",36111,43887,18808,10.7,28753
2005-01-01,"Ulster, NY",36111,49854,19529,11.5,28278
2006-01-01,"Ulster, NY",36111,51754,19286,11.1,27774
2007-01-01,"Ulster, NY",36111,55589,19451,11.2,27342
2008-01-01,"Ulster, NY",36111,54388,21001,12.1,26755
2009-01-01,"Ulster, NY",36111,55285,21578,12.5,26227
2010-01-01,"Ulster, NY",36111,57607,22322,13.0,25760
2011-01-01,"Ulster, NY",36111,59318,22550,13.0,25253
2012-01-01,"Ulster, NY",36111,60674,23092,13.0,24768
2013-01-01,"Ulster, NY",36111,61984,23635,14.0,24298
2014-01-01,"Ulster, NY",36111,63212,24135,14.0,23842
2015-01-01,"Ulster, NY",36111,64335,24611,15.0,23406
2016-01-01,"Ulster, NY",36111,65357,25063,15.0,22992
2017-01-01,"Ulster, NY",36111,66280,25486,15.0,22603
2018-01-01,"Ulster, NY",36111,67107,25880,16.0,22239
2019-01-01,"Ulster, NY",36111,67840,26244,16.0,21902
