YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Umatilla, OR",41059,29365,10813,17.0,12465
1997-01-01,"Umatilla, OR",41059,31454,10071,15.6,12446
1998-01-01,"Umatilla, OR",41059,33298,10393,15.8,12601
1999-01-01,"Umatilla, OR",41059,34310,9565,14.1,12767
2000-01-01,"Umatilla, OR",41059,35916,9210,13.6,12967
2001-01-01,"Umatilla, OR",41059,35251,9461,13.9,13032
2002-01-01,"Umatilla, OR",41059,35799,9231,13.3,12878
2003-01-01,"Umatilla, OR",41059,36790,9615,13.8,13049
2004-01-01,"Umatilla, OR",41059,38388,10405,14.9,13089
2005-01-01,"Umatilla, OR",41059,39003,10677,15.5,13226
2006-01-01,"Umatilla, OR",41059,43237,11167,16.0,13285
2007-01-01,"Umatilla, OR",41059,40773,10456,15.1,13587
2008-01-01,"Umatilla, OR",41059,44909,10576,15.2,13545
2009-01-01,"Umatilla, OR",41059,47693,11381,16.4,13551
2010-01-01,"Umatilla, OR",41059,47816,11573,16.0,13780
2011-01-01,"Umatilla, OR",41059,50024,11797,17.0,13828
2012-01-01,"Umatilla, OR",41059,51485,12043,17.0,13943
2013-01-01,"Umatilla, OR",41059,53247,12302,17.0,14035
2014-01-01,"Umatilla, OR",41059,54939,12569,18.0,14137
2015-01-01,"Umatilla, OR",41059,56699,12844,18.0,14238
2016-01-01,"Umatilla, OR",41059,58478,13125,19.0,14341
2017-01-01,"Umatilla, OR",41059,60295,13412,19.0,14445
2018-01-01,"Umatilla, OR",41059,62144,13705,20.0,14552
2019-01-01,"Umatilla, OR",41059,64027,14004,20.0,14660
