YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Victoria, TX",48469,34464,14108,17.4,15487
1997-01-01,"Victoria, TX",48469,36466,13100,16.0,15699
1998-01-01,"Victoria, TX",48469,36678,12484,15.1,15729
1999-01-01,"Victoria, TX",48469,36900,11647,14.0,15939
2000-01-01,"Victoria, TX",48469,38573,11775,14.1,16193
2001-01-01,"Victoria, TX",48469,37141,12136,14.5,15794
2002-01-01,"Victoria, TX",48469,36725,12525,14.9,15522
2003-01-01,"Victoria, TX",48469,37122,13088,15.5,15530
2004-01-01,"Victoria, TX",48469,38388,13582,16.1,15661
2005-01-01,"Victoria, TX",48469,37231,12806,15.3,15370
2006-01-01,"Victoria, TX",48469,44524,12795,15.1,15258
2007-01-01,"Victoria, TX",48469,45436,13685,16.2,15008
2008-01-01,"Victoria, TX",48469,46104,13103,15.4,14803
2009-01-01,"Victoria, TX",48469,47345,12041,14.0,14951
2010-01-01,"Victoria, TX",48469,49672,12311,14.0,14928
2011-01-01,"Victoria, TX",48469,50451,12534,14.0,14723
2012-01-01,"Victoria, TX",48469,52050,12666,14.0,14576
2013-01-01,"Victoria, TX",48469,53725,12741,14.0,14417
2014-01-01,"Victoria, TX",48469,55633,12775,14.0,14261
2015-01-01,"Victoria, TX",48469,57690,12786,14.0,14099
2016-01-01,"Victoria, TX",48469,59899,12784,14.0,13931
2017-01-01,"Victoria, TX",48469,62252,12777,14.0,13753
2018-01-01,"Victoria, TX",48469,64753,12768,14.0,13564
2019-01-01,"Victoria, TX",48469,67410,12760,14.0,13363
