YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Warren, GA",13301,21644,1634,27.3,1127
1997-01-01,"Warren, GA",13301,22520,1642,27.1,1146
1998-01-01,"Warren, GA",13301,24046,1584,26.3,1093
1999-01-01,"Warren, GA",13301,26135,1369,21.9,1058
2000-01-01,"Warren, GA",13301,27598,1254,20.3,1036
2001-01-01,"Warren, GA",13301,26603,1249,20.4,988
2002-01-01,"Warren, GA",13301,26876,1171,19.4,966
2003-01-01,"Warren, GA",13301,27776,1239,20.1,908
2004-01-01,"Warren, GA",13301,28536,1243,20.7,851
2005-01-01,"Warren, GA",13301,29507,1457,24.4,864
2006-01-01,"Warren, GA",13301,30235,1448,24.9,876
2007-01-01,"Warren, GA",13301,31964,1350,23.3,836
2008-01-01,"Warren, GA",13301,32439,1478,25.7,822
2009-01-01,"Warren, GA",13301,30056,1548,27.4,780
2010-01-01,"Warren, GA",13301,30795,1711,30.0,789
2011-01-01,"Warren, GA",13301,31458,1775,31.0,803
2012-01-01,"Warren, GA",13301,31650,1817,32.0,807
2013-01-01,"Warren, GA",13301,31682,1856,33.0,808
2014-01-01,"Warren, GA",13301,31683,1892,33.0,810
2015-01-01,"Warren, GA",13301,31670,1922,34.0,813
2016-01-01,"Warren, GA",13301,31641,1947,34.0,816
2017-01-01,"Warren, GA",13301,31597,1966,35.0,820
2018-01-01,"Warren, GA",13301,31543,1981,35.0,824
2019-01-01,"Warren, GA",13301,31483,1992,35.0,828
