YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Washington, IL",17189,32554,1162,7.7,2312
1997-01-01,"Washington, IL",17189,36681,1233,8.1,2447
1998-01-01,"Washington, IL",17189,38372,1157,7.6,2764
1999-01-01,"Washington, IL",17189,40344,1042,7.0,2720
2000-01-01,"Washington, IL",17189,42060,1036,6.9,2342
2001-01-01,"Washington, IL",17189,42021,1069,7.2,2336
2002-01-01,"Washington, IL",17189,42017,1185,7.9,2266
2003-01-01,"Washington, IL",17189,42894,1082,7.2,2252
2004-01-01,"Washington, IL",17189,45124,1061,7.2,2241
2005-01-01,"Washington, IL",17189,48143,1138,7.8,2137
2006-01-01,"Washington, IL",17189,46949,1225,8.4,2153
2007-01-01,"Washington, IL",17189,48727,1125,7.8,2065
2008-01-01,"Washington, IL",17189,52103,1226,8.5,2070
2009-01-01,"Washington, IL",17189,50299,1376,9.6,2010
2010-01-01,"Washington, IL",17189,51028,1412,9.0,2052
2011-01-01,"Washington, IL",17189,51277,1410,9.0,2101
2012-01-01,"Washington, IL",17189,51563,1413,9.0,2096
2013-01-01,"Washington, IL",17189,51845,1420,9.0,2083
2014-01-01,"Washington, IL",17189,52097,1428,10.0,2073
2015-01-01,"Washington, IL",17189,52319,1437,10.0,2066
2016-01-01,"Washington, IL",17189,52514,1445,10.0,2061
2017-01-01,"Washington, IL",17189,52687,1452,10.0,2057
2018-01-01,"Washington, IL",17189,52839,1458,10.0,2053
2019-01-01,"Washington, IL",17189,52974,1464,10.0,2050
