YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Woodford, IL",17203,45233,1997,5.8,7694
1997-01-01,"Woodford, IL",17203,49396,2180,6.3,7771
1998-01-01,"Woodford, IL",17203,50391,2075,5.9,8870
1999-01-01,"Woodford, IL",17203,50685,1700,4.9,8921
2000-01-01,"Woodford, IL",17203,52933,1821,5.2,7746
2001-01-01,"Woodford, IL",17203,52631,1961,5.6,7606
2002-01-01,"Woodford, IL",17203,52779,2079,5.9,7577
2003-01-01,"Woodford, IL",17203,53468,2176,6.0,7573
2004-01-01,"Woodford, IL",17203,57561,2201,6.0,7730
2005-01-01,"Woodford, IL",17203,58336,1977,5.5,8073
2006-01-01,"Woodford, IL",17203,60179,2353,6.4,8170
2007-01-01,"Woodford, IL",17203,62349,2179,5.9,8190
2008-01-01,"Woodford, IL",17203,64944,2203,5.9,8291
2009-01-01,"Woodford, IL",17203,64748,2576,6.8,8279
2010-01-01,"Woodford, IL",17203,67338,2286,5.0,8765
2011-01-01,"Woodford, IL",17203,68941,2253,5.0,8475
2012-01-01,"Woodford, IL",17203,70187,2359,6.0,8204
2013-01-01,"Woodford, IL",17203,71510,2450,6.0,8211
2014-01-01,"Woodford, IL",17203,72999,2480,6.0,8340
2015-01-01,"Woodford, IL",17203,74538,2487,6.0,8419
2016-01-01,"Woodford, IL",17203,76033,2507,6.0,8424
2017-01-01,"Woodford, IL",17203,77489,2542,6.0,8416
2018-01-01,"Woodford, IL",17203,78942,2579,6.0,8429
2019-01-01,"Woodford, IL",17203,80409,2612,6.0,8458
