YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"York, NE",31185,34756,1083,7.6,2266
1997-01-01,"York, NE",31185,38051,1152,8.2,2275
1998-01-01,"York, NE",31185,38940,1166,8.4,2224
1999-01-01,"York, NE",31185,38024,1164,8.3,2189
2000-01-01,"York, NE",31185,39225,1082,7.8,2148
2001-01-01,"York, NE",31185,38322,1141,8.3,2110
2002-01-01,"York, NE",31185,37917,1232,9.0,2103
2003-01-01,"York, NE",31185,39849,1219,9.0,1883
2004-01-01,"York, NE",31185,41098,1180,8.6,1840
2005-01-01,"York, NE",31185,41488,1297,9.5,1759
2006-01-01,"York, NE",31185,43010,1225,9.0,1787
2007-01-01,"York, NE",31185,48369,1220,9.1,1796
2008-01-01,"York, NE",31185,47356,1297,9.7,1882
2009-01-01,"York, NE",31185,49009,1260,9.7,1796
2010-01-01,"York, NE",31185,46878,1327,10.0,1685
2011-01-01,"York, NE",31185,46202,1332,10.0,1513
2012-01-01,"York, NE",31185,46698,1351,10.0,1377
2013-01-01,"York, NE",31185,48545,1357,10.0,1302
2014-01-01,"York, NE",31185,50959,1364,10.0,1294
2015-01-01,"York, NE",31185,53127,1370,10.0,1323
2016-01-01,"York, NE",31185,54445,1381,10.0,1349
2017-01-01,"York, NE",31185,54804,1395,10.0,1341
2018-01-01,"York, NE",31185,54543,1411,11.0,1287
2019-01-01,"York, NE",31185,54222,1427,11.0,1201
